File_mb	3136	2
Read_type	paired	PEPATAC
Genome	hg38	PEPATAC
Raw_reads	101078490	PEPATAC
Fastq_reads	101078490	PEPATAC
Trimmed_reads	101077540	PEPATAC
Trim_loss_rate	0	PEPATAC
Aligned_reads_rCRSd	14045392	PEPATAC
Alignment_rate_rCRSd	13.9	PEPATAC
Mapped_reads	85686081	PEPATAC
QC_filtered_reads	11021221	PEPATAC
Aligned_reads	74664860	PEPATAC
Alignment_rate	73.87	PEPATAC
Total_efficiency	73.87	PEPATAC
Mitochondrial_reads	9685	PEPATAC
NRF	0.94	PEPATAC
PBC1	0.97	PEPATAC
PBC2	35.95	PEPATAC
Unmapped_reads	1346067	PEPATAC
Duplicate_reads	1085340	PEPATAC
Dedup_aligned_reads	73579520	PEPATAC
Dedup_alignment_rate	72.8	PEPATAC
Dedup_total_efficiency	72.79	PEPATAC
TSS_score	7.3	PEPATAC
Peak_count	77999	PEPATAC
FRiP	0.11	PEPATAC
Genome_size	3099922541	PEPATAC
Time	1:07:05	PEPATAC
Success	03-04-11:43:10	PEPATAC
