# Pipeline started at 09-14 14:36:06

# pid	hash	cid	runtime	mem	cmd	lock
233774	39280702cf	1	0:00:00.160000	 0.0015	ln	lock.raw__gold5_R1.fastq.gz
233814	1ed104807b	2	0:00:00.160000	 0.0024	ln	lock.raw__gold5_R2.fastq.gz
233855	42ebb00cf7	3	0:00:00.160000	 0.0015	ln	lock.fastq__gold5_R2.fastq.gz
233897	b15812f2a8	4	0:00:00.160000	 0.0024	ln	lock.fastq__gold5_R2.fastq.gz
234744	41d12f3598	5	0:01:35.040000	 0.0502	skewer	lock.fastq__gold5_R1_trim.fastq
235251	6427e48a3c	6	0:00:00.030000	 0.0003	mv	lock.fastq__gold5_R1_trim.fastq
235252	04411be5a9	7	0:00:00.020000	 0.0	mv	lock.fastq__gold5_R1_trim.fastq
235391	9df86a2499	7f	0:02:04.640000	 0.2583	fastqc	lock.fastq__gold5_R1_trim_fastqc.html
235832	42b497dc83	7f	0:02:09.450000	 0.2501	fastqc	lock.fastq__gold5_R2_trim_fastqc.html
236045	eab4cf1c51	8	0:00:00.170000	 0.0193	mkfifo	lock.prealignments__rCRSd_bt2
236086	70c6bf0d6a	10	0:06:03.790000	 0.1696	bowtie2	lock.prealignments__gold5_rCRSd_unmap_R2.fq.gz
236815	1d4d10d154	11	0:00:00.170000	 0.0024	mkfifo	lock.prealignments__human_repeats_bt2
236857	d7285dd866	13	0:05:46.140000	 0.1582	bowtie2	lock.prealignments__gold5_human_repeats_unmap_R2.fq.gz
237831	c9ea3a4ea5	14	0:00:36.060000	 0.0474	pigz	lock.prealignments__gold5_rCRSd_unmap_R1.fq.gz
237946	1ef4008980	15	0:00:26.100000	 0.0475	pigz	lock.prealignments__gold5_rCRSd_unmap_R2.fq.gz
238041	3ccd5c5bd0	16	0:00:30.870000	 0.0478	pigz	lock.prealignments__gold5_human_repeats_unmap_R1.fq.gz
238150	4379903607	17	0:00:26.820000	 0.0516	pigz	lock.prealignments__gold5_human_repeats_unmap_R2.fq.gz
238250	b5d31709ef	18	0:20:46.430000	 4.0972	bowtie2	lock.aligned_hg38__gold5_sort_dedup.bam
238251	b5d31709ef	19	0:21:06.480000	 0.019	samtools	lock.aligned_hg38__gold5_sort_dedup.bam
238253	b5d31709ef	20	0:24:06.420000	 0.894	samtools	lock.aligned_hg38__gold5_sort_dedup.bam
241392	ac50a6b3f6	21	0:00:59.460000	 0.0508	samtools	lock.aligned_hg38__gold5_sort_dedup.bam
241655	1a7fc6fb1d	22	0:00:22.720000	 0.029	samtools	lock.aligned_hg38__gold5_sort_dedup.bam.bai
241716	098303b4b2	23	0:00:20.620000	 0.0293	samtools	lock.aligned_hg38__gold5_sort_dedup.bam.bai
241904	882a4da4a6	24	0:00:00.220000	 0.0319	samtools	lock.aligned_hg38__gold5_noMT.bam
241907	882a4da4a6	26	0:00:00.240000	 0.0128	awk	lock.aligned_hg38__gold5_noMT.bam
241905	882a4da4a6	25	0:00:00.260000	 0.0024	cut	lock.aligned_hg38__gold5_noMT.bam
241918	882a4da4a6	27	0:00:00.270000	 0.0146	grep	lock.aligned_hg38__gold5_noMT.bam
242068	e607640af8	28	0:00:45.530000	 0.0504	samtools	lock.aligned_hg38__gold5_noMT.bam
242185	c4be85a7ea	29	0:00:00.360000	 0.0007	mv	lock.aligned_hg38__gold5_noMT.bam
242187	098303b4b2	30	0:00:54.930000	 0.0292	samtools	lock.aligned_hg38__gold5_noMT.bam
242474	0fb46f567d	31	0:01:12.710000	 2.989	/scratch/jps3dp/tools/databio//pepatac/tools/bamQC.py	lock.QC_hg38__gold5_bamQC.tsv
242740	6898f4aa39	32	0:00:06.280000	 0.031	samtools	lock.aligned_hg38__gold5_unmap.bam
242903	2cba59454b	35	0:02:44.240000	 0.6604	samblaster	lock.aligned_hg38__gold5_sort_dedup.bam
242900	2cba59454b	33	0:02:56.290000	 6.9846	samtools	lock.aligned_hg38__gold5_sort_dedup.bam
242910	2cba59454b	36	0:02:56.310000	 0.0248	samtools	lock.aligned_hg38__gold5_sort_dedup.bam
242901	2cba59454b	34	0:02:56.330000	 0.0234	samtools	lock.aligned_hg38__gold5_sort_dedup.bam
242918	2cba59454b	37	0:03:53.440000	 6.9831	samtools	lock.aligned_hg38__gold5_sort_dedup.bam
243730	aa2c6f8b26	38	0:00:22.910000	 0.0282	samtools	lock.aligned_hg38__gold5_sort_dedup.bam
244224	ff4b9826ac	39	0:08:41.460000	 0.025	preseq	lock.QC_hg38__gold5_preseq_out.txt
245330	1bb0816a40	40	0:08:37.030000	 0.0231	preseq	lock.QC_hg38__gold5_preseq_yield.txt
246389	a75770057e	41	0:00:39.810000	 0.0225	echo	lock.QC_hg38__gold5_preseq_counts.txt
246510	f776b92e91	42	0:00:16.510000	 0.3392	Rscript	lock.QC_hg38__gold5_preseq_plot.png
246714	646c8ff8eb	43	0:10:42.790000	 5.4728	/scratch/jps3dp/tools/databio//pepatac/tools/bamSitesToWig.py	lock.aligned_hg38__gold5_smooth.bw
8909	f9ea7ba2a4	44	0:00:07.930000	 2.6057	/scratch/jps3dp/tools/databio//pepatac/tools/pyTssEnrichment.py	lock.QC_hg38__gold5_TSS_enrichment.txt
8987	e62b8fdb2f	45	0:00:07.650000	 0.2491	Rscript	lock.QC_hg38__gold5_TSS_enrichment.pdf
9091	13d380bcc3	46	0:02:51.670000	 0.0208	perl	lock.QC_hg38__gold5_fragLenDistribution.pdf
9301	db731f36cd	47	0:00:10.350000	 4.2662	sort	lock.QC_hg38__gold5_fragLenDistribution.pdf
9302	db731f36cd	48	0:00:10.370000	 0.0198	uniq	lock.QC_hg38__gold5_fragLenDistribution.pdf
9405	9ed447e158	49	0:00:07.200000	 0.2524	Rscript	lock.QC_hg38__gold5_fragLenDistribution.pdf
9719	ca5175636e	50	0:00:00.170000	 0.0021	ln	lock.raw__hg38_annotations.bed
9758	7179f7029b	51	0:00:01.070000	 0.0194	pigz	lock.raw__hg38_annotations.bed
9802	90d4ee5227	52	0:03:50.410000	 0.7482	macs2	lock.peak_calling_hg38__gold5_peaks.narrowPeak
10265	8c3b57b583	53	0:00:06.040000	 0.0489	pigz	lock.aligned_hg38_exact__gold5_shift.bed.gz
10351	963e8a6913	54	0:00:01.720000	 0.0208	awk	lock.peak_calling_hg38__gold5_peaks_fixedWidth.narrowPeak
10393	9c76ee905c	55	0:00:07.330000	 0.2481	Rscript	lock.peak_calling_hg38__gold5_peaks_normalized.narrowPeak
236085	1de661d513	9	1:25:26.950000	 0.0	perl	None
236856	bf58a7707d	12	1:19:22.520000	 0.0	perl	None
