# Pipeline started at 05-26 11:06:28

# pid	hash	cid	runtime	mem	cmd	lock
121486	ac4ede3b97	1	0:00:00.090000	 0.0	ln	lock.raw__tutorial_R1.fastq.gz
121487	ec9518be8e	2	0:00:00.180000	 0.0004	ln	lock.raw__tutorial_R2.fastq.gz
121492	fcb157dca6	3	0:00:00.160000	 0.0	ln	lock.fastq__tutorial_R2.fastq.gz
121495	f4bf6cfa1d	4	0:00:00.490000	 0.0	ln	lock.fastq__tutorial_R2.fastq.gz
121597	ba38c0a944	5	0:01:11.010000	 0.0039	skewer	lock.fastq__tutorial_R1_trim.fastq
122116	a8a99ce65a	6	0:00:00.190000	 0.0015	mv	lock.fastq__tutorial_R1_trim.fastq
122123	fccb6aa975	7	0:00:00.100000	 0.0	mv	lock.fastq__tutorial_R1_trim.fastq
122128	091e1406bf	7f	0:00:21.910000	 0.1472	fastqc	lock.trimmed_fastqc
122310	86e36e62a5	7f	0:00:21.320000	 0.1454	fastqc	lock.trimmed_fastqc_R2
122613	64f45f0be1	8	0:00:00.160000	 0.0	mkfifo	lock.prealignments__rCRSd_bt2
122616	8a0a8a3dbe	10	0:01:15.940000	 0.1158	bowtie2	lock.prealignments__tutorial_rCRSd_unmap_R2.fq.gz
123192	07932e5605	11	0:00:00.180000	 0.0	mkfifo	lock.prealignments__human_repeats_bt2
123194	68e085fd48	13	0:01:09.620000	 0.1246	bowtie2	lock.prealignments__tutorial_human_repeats_unmap_R2.fq.gz
124165	d337569bcc	14	0:00:19.710000	 0.0064	pigz	lock.prealignments__tutorial_rCRSd_unmap_R1.fq.gz
124282	77a6316a88	15	0:00:19.790000	 0.0062	pigz	lock.prealignments__tutorial_rCRSd_unmap_R2.fq.gz
124406	ef4d28f40f	16	0:00:17.790000	 0.0063	pigz	lock.prealignments__tutorial_human_repeats_unmap_R1.fq.gz
124635	32a6af5c38	17	0:00:18.170000	 0.006	pigz	lock.prealignments__tutorial_human_repeats_unmap_R2.fq.gz
124762	053a5ba595	18	0:17:57.610000	 3.6367	bowtie2	lock.aligned_hg38__tutorial_sort.bam
124765	053a5ba595	20	0:18:14.430000	 0.4413	samtools	lock.aligned_hg38__tutorial_sort.bam
124764	053a5ba595	19	0:18:14.460000	 0.0037	samtools	lock.aligned_hg38__tutorial_sort.bam
133987	53a898e52d	21	0:00:19.980000	 0.0137	samtools	lock.aligned_hg38__tutorial_sort.bam
