File_mb	55	2
Read_type	PAIRED	PEPATAC
Genome	hg38	PEPATAC
Raw_reads	2000000	PEPATAC
Fastq_reads	2000000	PEPATAC
Trimmed_reads	2000000	PEPATAC
Trim_loss_rate	0.0	PEPATAC
Aligned_reads_rCRSd	199916.0	PEPATAC
Alignment_rate_rCRSd	10.0	PEPATAC
Aligned_reads_human_repeats	39944.0	PEPATAC
Alignment_rate_human_repeats	2.0	PEPATAC
Mapped_reads	1760016	PEPATAC
QC_filtered_reads	7246	PEPATAC
Aligned_reads	1752770	PEPATAC
Alignment_rate	87.64	PEPATAC
Total_efficiency	87.64	PEPATAC
Mitochondrial_reads	48	PEPATAC
NRF	1.0	PEPATAC
PBC1	1.0	PEPATAC
PBC2	876373.0	PEPATAC
Unmapped_reads	124	PEPATAC
Duplicate_reads	0	PEPATAC
Dedup_aligned_reads	1752770.0	PEPATAC
Dedup_alignment_rate	87.64	PEPATAC
Dedup_total_efficiency	87.64	PEPATAC
Read_length	42	PEPATAC
Genome_size	3099922541	PEPATAC
Frac_exp_unique_at_10M	0.9601	PEPATAC
TSS_score	13.8	PEPATAC
Peak_count	972215	PEPATAC
FRiP	0.92	PEPATAC
Time	1:05:44	PEPATAC
Success	05-26-12:12:12	PEPATAC
