name	tutorial1	tutorial2
chr1_827005_827719	2	1
chr1_869567_870265	8	2
chr1_904541_905081	6	2
chr1_920943_921863	4	2
chr1_941215_941919	2	4
chr1_958774_959479	2	4
chr1_963009_963947	2	2
chr1_966191_967063	2	2
chr1_998571_999411	4	2
chr1_1000109_1001260	3	2
chr1_1001752_1002267	2	4
chr1_1005149_1006067	2	2
chr1_1019777_1020334	4	1
chr1_1020378_1020879	1	1
chr1_1041810_1042320	2	2
chr1_1058957_1059719	1	5
chr1_1068988_1069546	1	2
chr1_1089058_1089997	4	2
chr1_1092023_1092682	2	2
chr1_1115986_1116488	14	6
chr1_1156076_1156862	2	1
chr1_1157301_1158322	2	4
chr1_1169297_1169888	2	2
chr1_1231812_1232498	6	8
chr1_1253093_1253728	2	4
chr1_1292330_1293166	2	2
chr1_1301656_1302380	2	2
chr1_1307572_1308789	7	1
chr1_1313869_1314472	2	2
chr1_1319550_1320190	2	2
chr1_1374888_1375628	14	24
chr1_1399175_1399764	3	5
chr1_1401516_1402478	3	2
chr1_1471457_1472070	5	2
chr1_1511606_1512114	8	7
chr1_1554215_1554834	2	2
chr1_1574217_1575157	4	4
chr1_1582806_1583349	1	2
chr1_1606673_1607503	1	2
chr1_1615061_1616079	3	3
chr1_1636596_1637466	2	2
chr1_1692280_1693085	1	2
chr1_1724088_1724733	3	1
chr1_1764110_1764615	2	2
chr1_1778670_1779291	5	1
chr1_1779870_1780810	8	6
chr1_1787177_1787821	2	2
chr1_1789235_1790134	2	2
chr1_1889668_1890575	3	2
chr1_1890867_1891735	3	2
chr1_1908912_1909578	10	3
chr1_1919065_1919858	8	3
chr1_1928951_1929541	2	2
chr1_1995839_1996584	2	3
chr1_2073306_2074261	2	2
chr1_2089910_2090457	2	2
chr1_2133147_2133694	10	10
chr1_2151178_2151715	2	4
chr1_2189339_2190005	2	4
chr1_2195037_2195680	4	2
chr1_2199192_2199725	2	2
chr1_2206609_2207363	2	4
chr1_2212345_2213173	6	2
chr1_2224527_2225389	2	2
chr1_2227001_2228019	10	5
chr1_2243162_2243766	2	2
chr1_2250231_2250765	2	2
chr1_2255762_2256325	4	2
chr1_2299274_2300151	2	1
chr1_2300238_2300754	4	3
chr1_2312468_2313363	3	3
chr1_2318030_2318809	1	2
chr1_2391312_2392048	8	3
chr1_2393370_2394337	2	2
chr1_2410241_2410937	1	2
chr1_2412039_2412948	12	2
chr1_2451900_2452733	2	2
chr1_2454917_2455591	2	2
chr1_2491868_2492375	2	2
chr1_2495038_2496315	4	2
chr1_2504239_2505149	2	2
chr1_2526017_2526539	7	7
chr1_2545598_2546622	5	2
chr1_2546685_2547226	1	2
chr1_2548580_2549128	4	2
chr1_2555641_2557205	2	2
chr1_2578180_2578750	2	2
chr1_2586297_2587023	15	2
chr1_2595418_2596231	2	4
chr1_2642896_2643522	7	4
chr1_2831965_2832468	2	2
chr1_2896624_2897438	2	1
chr1_3098539_3099494	2	1
chr1_3170746_3171552	2	2
chr1_3215087_3215799	1	2
chr1_3304964_3305704	2	2
chr1_3312930_3313474	4	4
chr1_3343715_3344233	2	2
chr1_3411407_3412305	2	2
chr1_3461218_3461719	2	2
chr1_3485782_3486690	2	2
chr1_3499555_3500510	1	2
chr1_3548489_3549130	1	2
chr1_3623770_3624413	1	1
chr1_3624605_3625510	6	2
chr1_3636923_3637622	2	2
chr1_3678923_3679729	2	1
chr1_3768584_3769151	2	2
chr1_3775363_3775899	1	4
chr1_3795961_3796976	7	5
chr1_3856372_3857429	1	8
chr1_3900801_3901648	7	6
chr1_3909330_3910008	2	2
chr1_3982479_3983336	1	1
chr1_4025130_4025899	2	2
chr1_4033944_4035232	2	2
chr1_4257952_4258522	1	2
chr1_4304429_4305327	2	2
chr1_4322312_4322925	2	2
chr1_4419165_4419727	2	1
chr1_4461589_4462521	2	2
chr1_4464286_4464854	2	2
chr1_4470426_4471384	2	2
chr1_4479332_4480215	2	2
chr1_4599613_4600293	2	2
chr1_4713667_4714462	2	2
chr1_4800714_4801615	2	2
chr1_4868760_4869529	2	2
chr1_5038857_5039730	1	2
chr1_5180575_5181479	2	2
chr1_5194332_5196106	2	2
chr1_5224928_5225697	2	2
chr1_5305654_5306372	2	2
chr1_5350914_5351482	2	2
chr1_5396441_5397278	2	2
chr1_5493548_5494200	2	2
chr1_5775134_5776126	2	2
chr1_5919969_5920607	2	1
chr1_6025985_6026521	2	10
chr1_6026916_6027892	3	2
chr1_6027973_6028862	11	3
chr1_6043528_6044117	2	4
chr1_6055844_6057044	4	5
chr1_6063377_6064101	4	4
chr1_6127436_6128033	6	2
chr1_6168057_6168648	2	2
